,Country,Year,"Female to male ratio, parliamentary seats<",Net migration rate,"Old-age dependency ratio, ages 65 and older","Population, total both sexes (thousands)","Remittances outflows (Workers' remittances and compensation of employees, total paid), (% of GDP)",Under-five mortality rate
0,Angola,2005,0.17599999999999999,2.2999999999999998,4.9000000000000004,16544.400000000001,0.76000000000000001,194.0
1,Bulgaria,2010,0.26300000000000001,-2.2000000000000002,26.800000000000001,7389.1999999999998,0.050000000000000003,13.0
2,Bangladesh,2010,0.22900000000000001,-4.9000000000000004,7.2000000000000002,151125.5,0.01,47.0
3,Bulgaria,2011,0.26300000000000001,,,7333.1000000000004,,13.0
4,Bulgaria,2012,0.26300000000000001,,,7277.8000000000002,,12.0
5,Bulgaria,2013,0.32600000000000001,,,7222.8999999999996,,12.0
6,Angola,2010,0.629,0.90000000000000002,4.9000000000000004,19549.099999999999,0.87,173.0
7,Bulgaria,2009,0.26300000000000001,,,7446.1999999999998,0.20999999999999999,
8,Qatar,2005,,48.200000000000003,1.8,821.20000000000005,,10.0
9,Angola,2009,0.629,,,18926.700000000001,0.94999999999999996,
10,Bulgaria,2005,0.41999999999999998,-2.1000000000000001,25.300000000000001,7683.3000000000002,0.12,16.0
11,Bangladesh,2005,0.17399999999999999,-2.8999999999999999,7.0,143135.20000000001,0.01,68.0
12,Angola,2012,0.61799999999999999,,,20820.5,,164.0
13,Bangladesh,2009,0.22900000000000001,,,149503.10000000001,0.01,
14,Bangladesh,2007,,,,146457.10000000001,,
15,Bangladesh,2006,,,,144868.70000000001,0.01,
16,Qatar,2010,0.001,133.40000000000001,1.3,1749.7,,8.0
17,Bangladesh,2012,0.245,,,154695.39999999999,,41.0
18,Bangladesh,2011,0.22900000000000001,,,152862.39999999999,,44.0
19,Bangladesh,2013,0.246,,,156595.0,,41.0
20,Qatar,2011,0.001,,,1910.9000000000001,,8.0
21,Qatar,2013,0.001,,,2168.6999999999998,,7.0
22,Qatar,2012,0.001,,,2050.5,,7.0
23,Bulgaria,2007,,,,7563.1000000000004,0.23999999999999999,
24,Bulgaria,2006,,,,7622.8999999999996,0.14999999999999999,
25,Qatar,2006,,,,967.60000000000002,,
26,Qatar,2007,,,,1152.5,,
27,Qatar,2009,0.001,,,1564.0999999999999,,
28,Angola,2007,,,,17712.799999999999,1.0,
29,Angola,2006,,,,17122.400000000001,0.98999999999999999,
30,Angola,2013,0.51700000000000002,,,21471.599999999999,,164.0
31,Angola,2011,0.629,,,20180.5,,169.0
32,Liechtenstein,2012,0.316,,,36.700000000000003,,
33,Liechtenstein,2011,0.316,,,36.399999999999999,,
34,Liechtenstein,2010,0.316,,,36.100000000000001,,
35,Liechtenstein,2013,0.25,,,36.899999999999999,,
36,Liechtenstein,2005,0.316,,,34.700000000000003,,
37,Liechtenstein,2009,0.316,,,35.899999999999999,,
38,Liechtenstein,2006,,,,35.0,,
39,Liechtenstein,2007,,,,35.299999999999997,,
40,Portugal,2005,0.27100000000000002,3.5,25.5,10511.0,,5.0
41,Malaysia,2005,0.151,4.0,6.7000000000000002,25843.5,,8.0
42,Libya,2010,0.083000000000000004,-3.0,6.9000000000000004,6040.6000000000004,,17.0
43,Libya,2005,0.049000000000000002,-2.7999999999999998,6.5,5594.5,,23.0
44,Malaysia,2007,,,,26813.799999999999,,
45,Malaysia,2006,,,,26327.099999999999,,
46,Malaysia,2010,0.16300000000000001,4.7999999999999998,7.2000000000000002,28275.799999999999,,8.0
47,Malaysia,2012,0.14799999999999999,,,29239.900000000001,,9.0
48,Portugal,2010,0.377,1.8999999999999999,27.0,10589.799999999999,,4.0
49,Malaysia,2011,0.16300000000000001,,,28759.0,,9.0
50,Malaysia,2013,0.16200000000000001,,,29717.0,,9.0
51,Libya,2009,0.083000000000000004,,,5964.3000000000002,,
52,Libya,2007,,,,5782.1000000000004,,
53,Libya,2006,,,,5686.5,,
54,Libya,2012,0.083000000000000004,,,6154.6000000000004,,15.0
55,Libya,2013,0.19800000000000001,,,6201.5,,15.0
56,Libya,2011,0.083000000000000004,,,6103.1999999999998,,16.0
57,Malaysia,2009,0.16300000000000001,,,27790.299999999999,,
58,Portugal,2011,0.36099999999999999,,,10597.6,,4.0
59,Portugal,2012,0.40300000000000002,,,10603.799999999999,,4.0
60,Portugal,2009,0.377,,,10580.700000000001,,
61,Portugal,2006,,,,10536.700000000001,,
62,Portugal,2007,,,,10555.9,,
63,Portugal,2013,0.40200000000000002,,,10608.200000000001,,4.0
